Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Chris Sale","ATL",14,3,0,23,23,140.2,11.964455841531317,2.0473935129893164,0.5118483782473291,0.30959752321981426,0.77151335,0.457317073,0.075471698,95.06145833333333,2.6232229385175616,2.62,2.053567755079599,2.455606853147473,5.1643877029418945,"Chris Sale",10603,519242
"Tarik Skubal","DET",14,4,0,25,25,155.1,10.718884471152784,1.9120172299894154,0.7532189087837091,0.264,0.79376855,0.457142857,0.094202898,97.09553086838535,2.491416390592269,2.83,2.6604266354263393,2.9180820657984934,4.513615131378174,"Tarik Skubal",22267,669373
"Cole Ragans","KCR",10,8,0,26,26,152.1,10.811816553556298,2.954048238676584,0.8271335068294435,0.296,0.73863636,0.407310704,0.092715231,95.70511873818525,3.308534027317774,3.36,2.998458783577891,3.305108675209287,4.114995956420898,"Cole Ragans",21846,666142
"Cristopher Sánchez","PHI",9,8,0,24,24,140.1,6.9263660467647465,2.1805226443518646,0.32066509475762717,0.3163972286374134,0.68639053,0.581018518,0.060240963,,3.4631830233823733,3.64,2.8134039158793955,3.246062481073956,3.9862191677093506,"Cristopher Sanchez",20778,650911
"Garrett Crochet","CHW",6,9,0,26,26,128.2,12.590673077413408,2.1683936966656425,1.1191709402145251,0.30952380952380953,0.72968491,0.457792207,0.14159292,97.20404057955517,3.6373055556972065,2.81,2.820603676216596,2.5342520168948766,3.9660096168518066,"Garrett Crochet",27463,676979
"Ranger Suárez","PHI",10,5,0,20,20,119.1,8.748603724841058,2.0363129359543843,0.6787709786514614,0.2808641975308642,0.74539363,0.522935779,0.105882352,92.18927184693113,2.865921909861726,3.24,3.003354690734272,3.1017825805837487,3.2620420455932617,"Ranger Suarez",17277,624133
"Framber Valdez","HOU",13,5,0,22,22,137.2,8.56416528173749,2.8111382222497103,0.7191283824359724,0.2861111111111111,0.75034106,0.591280653,0.139240506,95.57430267333984,3.203390067214786,3.46,3.344170650988199,3.174614662446576,2.7481484413146973,"Framber Valdez",17295,664285
"Yusei Kikuchi","- - -",6,9,0,26,26,138,10.500000290248712,2.41304354496399,1.3043478621426974,0.328804347826087,0.71710526,0.415143603,0.136986301,95.6262399436296,4.3695653381780355,4.05,3.5611233102701916,3.279527074221722,2.712069809436798,"Yusei Kikuchi",20633,579328
"Shota Imanaga","CHC",9,3,0,23,23,133.1,9.247500352764144,1.350000051498415,1.350000051498415,0.2853185595567867,0.76271186,0.354497354,0.110497237,92.09079137731482,3.1050001184463545,3.44,3.5750725903511054,3.681217598359753,2.6796998977661133,"Shota Imanaga",33829,684007
"Nestor Cortes","NYY",7,10,0,26,26,148.1,8.312359835587742,1.7595506221317119,1.274157347060895,0.29156626506024097,0.74175824,0.301624129,0.1,91.97806944444444,4.004494519334241,3.59,3.82324675457298,4.127141238053137,2.679532051086426,"Nestor Cortes",17874,641482
"Justin Steele","CHC",3,5,0,20,20,116,8.922414379936376,2.4827587839822955,0.7758621199944674,0.2664576802507837,0.70940171,0.416927899,0.080645161,,3.1034484799778697,2.9,3.2315380963927645,3.7299631021279653,2.5625011920928955,"Justin Steele",17312,657006
"MacKenzie Gore","WSN",7,11,0,25,25,125.2,9.740053247508511,3.867374083569556,0.7877984244308355,0.3701657458563536,0.66283925,0.37027027,0.083969465,96.21662912193251,4.655172508000391,4.64,3.6161534856514144,4.05716054657841,2.3504157066345215,"MacKenzie Gore",22201,669022
"Max Fried","ATL",7,7,0,22,22,128.2,8.323834854982591,3.2176168346991534,0.6994819205867724,0.2853107344632768,0.72108844,0.584958217,0.117647058,94.09765625,3.5673577949925392,3.72,3.4889974708893057,3.479249239715031,2.2811167240142822,"Max Fried",13743,608331
"Sean Manaea","NYM",9,5,0,25,25,137,9.065693430656934,3.4160583941605838,0.9197080291970803,0.26330532212885155,0.74626866,0.377717391,0.089743589,92.45665564903847,3.4817518248175183,3.99,3.768411990673873,4.164662185550606,2.110793352127075,"Sean Manaea",15873,640455
"Andrew Heaney","TEX",4,13,0,26,25,129.1,9.11597994160283,2.5051547931122284,1.2525773965561142,0.29120879120879123,0.72128852,0.335092348,0.103448275,91.77582254993001,4.036082722236368,4.19,3.9666963353675517,4.195176332826698,2.0070599243044853,"Andrew Heaney",15423,571760
"Blake Snell","SFG",2,3,0,14,14,76,11.960526315789474,3.5526315789473686,0.7105263157894737,0.27380952380952384,0.68364611,0.412790697,0.083333333,96.1399606717687,3.6710526315789473,2.72,2.7546778377733734,3.1632989513246637,1.9443166255950928,"Blake Snell",13543,605483
"Nick Lodolo","CIN",9,5,0,20,20,110.2,9.1897592473262,2.7650603045052287,1.0572289399578816,0.2905405405405405,0.70336391,0.450980392,0.12037037,94.26361514522821,4.554216972126259,3.8,4.002934039710205,3.9539834989303206,1.8432896137237549,"Nick Lodolo",26378,666157
"Mitchell Parker","WSN",7,7,0,23,23,122.2,7.630434940803257,2.3478261356317716,1.1739130678158858,0.2900552486187845,0.67629179,0.365591397,0.104575163,92.65082992344244,4.255434870832586,4.4,3.9696378087389004,4.163189251652706,1.8079829216003418,"Mitchell Parker",27636,680730
"Tyler Anderson","LAA",10,11,0,25,25,153.1,6.984782840389843,3.404347939013537,1.115217428297538,0.25229357798165136,0.7980653,0.379690949,0.096938775,89.61557539682539,3.46304359313446,4.19,4.453876965275786,4.779132420581233,1.771559715270996,"Tyler Anderson",12880,542881
"Matt Strahm","PHI",5,2,1,52,0,48.2,11.465754922547395,1.6643837790794607,0.5547945930264869,0.26605504587155965,0.78431373,0.288288288,0.053571428,93.6542043329177,2.2191783721059477,2.6,2.217366971681464,3.1588886298631715,1.6604983806610107,"Matt Strahm",13799,621381
"Bailey Falter","PIT",6,7,0,21,21,107.1,6.288820173788138,2.5993790051657637,1.0900621634566106,0.28125,0.7253886,0.344512195,0.092198581,91.92780727155727,4.024844911224409,4.93,4.2060508849329175,4.621266206474329,1.4211088418960571,"Bailey Falter",20070,663559
"JP Sears","OAK",10,8,0,25,25,141,7.0212765957446805,2.3617021276595747,1.2127659574468086,0.2716049382716049,0.72834646,0.383693045,0.101063829,92.44135008169934,4.148936170212766,4.13,4.417891723551649,4.685659500385853,1.3499521017074585,"JP Sears",23429,676664
"Patrick Sandoval","LAA",2,8,0,16,16,79.2,9.150627907170504,3.9539750216168845,0.9037657192267164,0.3407079646017699,0.66189624,0.45021645,0.102564102,93.99777631222943,5.08368217065028,4.25,3.8655014673473693,4.043030406266228,1.279496669769287,"Patrick Sandoval",19447,663776
"A.J. Puk","- - -",4,8,2,45,4,55,9.654547463409589,4.090909942122708,0.4909091930547249,0.2708333333333333,0.63271605,0.365517241,0.051724137,95.51489320897933,3.6000007490679824,3.12,3.198936218545458,4.0871186933873505,1.2640992552042007,"A.J. Puk",19343,640462
"Carlos Rodón","NYY",13,8,0,25,25,134.2,9.891089856069573,2.940594281534197,1.6039605172004712,0.28735632183908044,0.76708508,0.315363881,0.126315789,95.5054190751445,4.34405973408461,4.22,4.462077623273268,4.2822600436505684,1.2431854009628296,"Carlos Rodon",16137,607074
"Keegan Akin","BAL",2,0,0,51,0,64,10.968751961365692,2.250000402331424,0.9843751760199981,0.24836601307189543,0.71428571,0.378205128,0.094594594,93.83941046288396,3.51562562864285,2.62,2.9906975438818284,3.3201431632540683,1.1804767847061157,"Keegan Akin",19362,669211
"Cody Bradford","TEX",4,1,0,8,7,43,8.581395348837209,1.255813953488372,1.0465116279069768,0.2542372881355932,0.68571429,0.322314049,0.083333333,90.39038494199414,3.558139534883721,3.59,3.255595830429433,3.8574408813964496,1.1240072324872017,"Cody Bradford",27597,674003
"Patrick Corbin","WSN",2,12,0,25,25,135.1,6.583744089802863,2.992610949910392,1.2635468455177212,0.3441108545034642,0.64225053,0.467268623,0.131944444,91.39688151041666,5.91871943426722,5.88,4.566513514079613,4.353043623739949,1.0998055934906006,"Patrick Corbin",9323,571578
"Tyler Holton","DET",5,1,4,49,5,72.1,7.092167332379817,1.6175118477357477,0.622119941436826,0.21025641025641026,0.75,0.459595959,0.069444444,92.15409697462249,2.488479765747304,3.05,3.1902223497904494,3.79928060144244,1.0956526100635529,"Tyler Holton",26231,663947
"Tanner Scott","- - -",8,5,19,54,0,55.1,10.246988540499386,4.879518352618755,0.48795183526187547,0.2125984251968504,0.80985915,0.483606557,0.073170731,97.16877446074331,1.626506117539585,2.85,3.2710063157847844,3.6884921303883837,1.0578204095363617,"Tanner Scott",17586,656945
"Andrew Abbott","CIN",10,10,0,25,25,138,7.434782608695652,3.391304347826087,1.6304347826086956,0.2595419847328244,0.82876712,0.33737864,0.123152709,92.9486276521217,3.717391304347826,4.05,5.039384168818377,4.912392073394596,1.0371596813201904,"Andrew Abbott",29911,671096
"Josh Hader","HOU",6,6,27,56,0,56.1,13.420118646116508,2.875739709882109,1.4378698549410545,0.22641509433962265,0.76142132,0.298245614,0.147540983,,3.355029661529127,2.54,3.2690814527592607,2.8322884158840598,1.0223336219787598,"Josh Hader",14212,623352
"Aaron Bummer","ATL",3,2,0,43,0,44.2,11.485076261645112,2.6194033579190608,0.2014925659937739,0.424,0.73964497,0.601626016,0.047619047,93.87940889246323,3.6268661878879302,2.79,1.9088410528764406,2.329910546028859,1.0146597623825073,"Aaron Bummer",16258,607481
"DJ Herz","WSN",2,6,0,13,13,60.2,11.12637409278845,3.1153847459807658,1.4835165457051265,0.31210191082802546,0.73529412,0.374233128,0.135135135,93.46327196519525,4.153846327974354,3.36,3.9702649161660477,3.6749547258133797,0.9869387745857239,"DJ Herz",26389,687792
"Ryan Weathers","MIA",3,5,0,13,13,71,8.492957746478874,2.535211267605634,1.0140845070422535,0.2717948717948718,0.74550129,0.515,0.126984126,96.28104350220265,3.5492957746478875,4.05,3.9231359548971687,3.802337420406476,0.971811830997467,"Ryan Weathers",23796,677960
"Tanner Banks","- - -",2,2,2,49,1,57.2,9.83237118883374,2.9653182950450963,0.9364163036984514,0.3161290322580645,0.62130178,0.46875,0.103448275,93.58092000475669,4.057803982693289,3.49,3.422688214531716,3.5934979347757294,0.9593635275959969,"Tanner Banks",16990,621383
"Trevor Rogers","- - -",2,11,0,25,25,124.1,7.021448008414998,4.053619468775668,1.013404867193917,0.32225063938618925,0.69844789,0.462686567,0.103703703,92.05991384086879,4.92225221208474,5.13,4.513779064207368,4.694571366625192,0.9057480525225401,"Trevor Rogers",22286,669432
"Joe Mantiply","ARI",6,2,1,58,2,47.1,7.415495846296761,2.6619728679014014,0.19014091913581438,0.3,0.66546763,0.5,0.02,89.54774709848257,3.6126774635804733,3.19,2.676656892379508,4.001997852151939,0.8961027786135674,"Joe Mantiply",14857,573009
"Kyle Freeland","COL",3,5,0,14,14,72.1,7.3410143410829,2.6129034095379815,1.3686636907103713,0.34801762114537443,0.62111801,0.398305084,0.126436781,92.02681632383967,5.972350650372529,5.16,4.42063717920784,4.265453374670805,0.8938809633255005,"Kyle Freeland",16256,607536
"Robert Garcia","WSN",2,4,0,57,0,46,11.347829851177,3.130435821014345,0.7826089552535862,0.34710743801652894,0.59233449,0.466666666,0.105263157,94.5481447735732,4.695653731521517,2.83,2.8799637852183504,3.000766293869838,0.8729277849197388,"Robert Garcia",23363,676395
"Kyle Harrison","SFG",7,5,0,22,22,117,8.307692307692308,2.923076923076923,1.2307692307692308,0.3006134969325153,0.76866764,0.407079646,0.116788321,92.96319070080862,4,4.77,4.248042660085564,4.243835992741789,0.8708341121673584,"Kyle Harrison",27758,690986
"Austin Gomber","COL",4,8,0,24,24,132,6.409090909090909,2.1818181818181817,1.7045454545454546,0.27860696517412936,0.74626866,0.404255319,0.147928994,90.63304411345496,4.636363636363637,5,4.927724089766993,4.4048210576176645,0.8617569804191589,"Austin Gomber",16561,596295
"Jared Koenig","MIL",8,3,1,40,5,47.2,9.251749855958474,2.832168323252594,0.5664336646505188,0.2824427480916031,0.81784387,0.472868217,0.0625,,2.076923437051902,3.17,3.057677451532049,3.764743373153532,0.8602904230356216,"Jared Koenig",27517,657649
"Alex Vesia","LAD",2,4,5,54,0,53.1,11.981251999587155,4.218750704079984,1.0125001689791961,0.2072072072072072,0.81545064,0.225225225,0.085714285,93.51515403368795,1.856250309795193,2.94,3.4250726184249,3.9505582071906193,0.8389779925346375,"Alex Vesia",25007,681911
"Sam Moll","CIN",3,1,0,42,0,33,9.545456752304714,2.454546022021212,0.2727273357801347,0.2857142857142857,0.68452381,0.469879518,0.033333333,93.42698986695545,2.7272733578013466,2.38,2.3443905672750747,3.327411055021802,0.8105826377868652,"Sam Moll",14874,594580
"Reid Detmers","LAA",3,6,0,12,12,63,10,3.857142857142857,1.4285714285714286,0.3333333333333333,0.61728395,0.409090909,0.133333333,94.41847999744377,6.142857142857143,3.72,4.384794796837701,4.12446418555956,0.8103778958320618,"Reid Detmers",27468,672282
"Adrian Morejon","SDP",2,1,1,45,0,51.2,10.277421378335548,2.961290905622107,0.6967743307346134,0.3357664233576642,0.80128205,0.528571428,0.093023255,97.01671803325688,2.7870973229384535,3.17,2.9303144643706074,3.1844472560958854,0.8098913431167603,"Adrian Morejon",20039,670970
"Justin Wilson","CIN",1,2,1,45,0,36.2,10.554547284654667,1.9636367041217984,1.227272940076124,0.3125,0.73684211,0.4,0.106382978,95.448046875,4.172727996258821,2.94,3.4080271626307033,3.5768130318993583,0.7396735548973083,"Justin Wilson",4301,458677
"Yuki Matsui","SDP",3,2,0,56,0,55,9.490911065724681,3.763637146752891,0.6545455907396331,0.2589928057553957,0.73170732,0.398601398,0.066666666,92.23213541666667,3.272727953698166,2.94,3.253481684440428,3.9603788713745742,0.7152989506721497,"Yuki Matsui",33826,673513
"Andrew Nardi","MIA",3,2,0,59,0,49.2,12.684566356390905,3.2617456345005182,1.2684566356390905,0.32456140350877194,0.63909774,0.316666666,0.114754098,94.23304219600726,5.073826542556362,2.74,3.3236464331093316,3.351713408215777,0.7083998918533325,"Andrew Nardi",25942,677053
"James Paxton","- - -",9,3,0,21,21,100.1,6.548173151666666,4.485050103881278,1.0764120249315068,0.2757475083056478,0.71981424,0.374592833,0.091603053,93.38611942498008,4.395349101803653,4.74,4.787157390021364,5.209946978944049,0.7075366079807281,"James Paxton",11828,572020
"Hoby Milner","MIL",4,1,1,51,1,53,8.830190585915314,2.3773590039002768,0.8490567871072418,0.3355263157894737,0.61904762,0.513333333,0.121951219,88.9504148043119,4.924529365222002,3.29,3.2191763604226282,3.1644759790688797,0.6979254633188248,"Hoby Milner",13346,571948
"Dylan Lee","ATL",4,2,0,38,0,48.2,10.356165736494422,2.5890414341236054,0.7397261240353158,0.2975206611570248,0.80578512,0.373983739,0.075471698,92.35561835106382,1.8493153100882895,2.52,2.792709512597821,3.373738653967293,0.6953076720237732,"Dylan Lee",19996,669276
"Robert Gasser","MIL",2,0,0,5,5,28,5.142857142857143,0.32142857142857145,0.6428571428571429,0.2826086956521739,0.78767123,0.430107526,0.0625,93.2071063701923,2.5714285714285716,2.92,3.376858288901193,4.1793218544551305,0.687435507774353,"Robert Gasser",29812,688107
"Tim Herrin","CLE",5,0,0,58,0,51,8.8235320516944,4.058824743779423,0.176470641033888,0.20967741935483872,0.75581395,0.483606557,0.024390243,95.50543734296483,2.117647692406656,3.46,2.986101933581591,3.9488645826960944,0.6858811378479004,"Tim Herrin",25139,682120
"Clayton Kershaw","LAD",2,2,0,5,5,24,7.125000566244171,2.2500001788139485,0.3750000298023248,0.3108108108108108,0.67567568,0.432432432,0.041666666,89.9498650045956,2.625000208616273,3.64,2.995905894703334,3.9688949252225836,0.682399570941925,"Clayton Kershaw",2036,477132
"Jesús Luzardo","MIA",3,6,0,12,12,66.2,7.830000298690807,2.9700001132965133,1.2150000463485735,0.28415300546448086,0.66298343,0.37037037,0.118421052,95.51789022229381,4.995000190544135,4.55,4.257572616386415,4.229280021947192,0.6752456426620483,"Jesus Luzardo",19959,666200
