Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Logan Webb","SFG",11,8,0,27,27,172.2,7.610039058378304,2.1370657629692498,0.3648648863606036,0.31225296442687744,0.73158426,0.561403508,0.060344827,92.75485026041666,3.1274133116623166,4.08,2.7455841330605026,3.2361250031016096,4.163757801055908,"Logan Webb",17995,657277
"Zack Wheeler","PHI",12,6,0,25,25,154.2,9.89224105400082,2.502155090129619,0.989224105400082,0.24468085106382978,0.79295154,0.416879795,0.111111111,95.42096225247525,2.7349137031649327,2.98,3.3824001535932746,3.4518547407825144,3.813246965408325,"Zack Wheeler",10310,554430
"Tyler Glasnow","LAD",9,6,0,22,22,134,11.283582089552239,2.3507462686567164,1.007462686567164,0.2532894736842105,0.69811321,0.485714285,0.136363636,96.41026368261826,3.4925373134328357,2.62,2.8939158581975684,2.6820659939032883,3.786142349243164,"Tyler Glasnow",14374,607192
"George Kirby","SEA",9,9,0,26,26,150.2,8.840708561497818,1.1349558288409363,1.0154867942261008,0.29603729603729606,0.71927374,0.410430839,0.094972067,96.0911425285533,3.4048674865228086,3.46,3.1227495630772,3.4554267268319743,3.674717903137207,"George Kirby",25436,669923
"Hunter Greene","CIN",9,4,0,24,24,143.1,10.172093384218202,3.3279070948368195,0.6906976989283965,0.24260355029585798,0.79545455,0.346820809,0.06626506,97.8069615880619,2.8255814956161673,2.96,3.4067586297921846,4.163266793125968,3.647952079772949,"Hunter Greene",22182,668881
"Tanner Houck","BOS",8,8,0,25,25,152.2,7.958515814136742,2.35807875974422,0.5305677209424495,0.2873303167420814,0.70695553,0.558035714,0.082568807,93.7676010131836,3.0065504186738807,3.96,3.1822232309466805,3.4972721333673134,3.617145299911499,"Tanner Houck",19879,656557
"Seth Lugo","KCR",14,7,0,26,26,166.2,7.722000471313505,2.268000138427743,0.756000046142581,0.26652452025586354,0.75560803,0.4360587,0.08,92.40357071314102,3.024000184570324,3.96,3.438572591461183,3.9369610227330787,3.5527873039245605,"Seth Lugo",12447,607625
"Dylan Cease","SDP",12,9,0,26,26,148.1,11.285393645396496,3.0337079691926068,1.0314607095254862,0.25297619047619047,0.69892473,0.391930835,0.111842105,97.02565116145354,3.4584270848795717,3.29,3.196280440939841,3.2584893479179393,3.4630980491638184,"Dylan Cease",18525,656302
"Logan Gilbert","SEA",7,10,0,26,26,165.2,8.80080536937478,1.6841047311766553,0.9778672632638644,0.24,0.67546584,0.447488584,0.108433734,96.5321514423077,3.2052315851426667,3.22,3.2350071867090984,3.3402355607562684,3.434921979904175,"Logan Gilbert",22250,669302
"Michael King","SDP",11,6,0,25,24,141.1,10.634433986183458,3.1839622713124127,0.9551886813937238,0.28939828080229224,0.75838926,0.39832869,0.111111111,93.72372643512229,3.1839622713124127,3.44,3.325308424038113,3.39237334410211,3.2301628813147545,"Michael King",19853,650633
"Joe Ryan","MIN",7,7,0,23,23,135,9.8,1.5333333333333334,1.2666666666666666,0.26453488372093026,0.70915619,0.356545961,0.116564417,94.0268952404318,3.6,2.9,3.436646648689553,3.4358234341497775,3.125117301940918,"Joe Ryan",21390,657746
"Sonny Gray","STL",11,8,0,23,23,135.2,11.144963980632209,2.2555284246517564,1.1941032836391652,0.3018292682926829,0.67292645,0.44117647,0.156521739,92.6608352333691,3.9140052074839304,3.8,3.20679862215767,2.76590470421315,3.0260109901428223,"Sonny Gray",12768,543243
"Corbin Burnes","BAL",12,5,0,25,25,153.2,8.433840037701458,2.2255966766156625,1.0542300047126822,0.27014218009478674,0.76975477,0.481651376,0.12,,3.1041216805428977,3.24,3.5920736876465713,3.5478112746011945,3.0103042125701904,"Corbin Burnes",19361,669203
"Jack Flaherty","- - -",10,5,0,22,22,129,11.30232591561978,1.6744186541658934,1.325581434547999,0.2871287128712871,0.81005587,0.409375,0.162393162,93.60004525533536,3.0000000887138927,3.22,3.2168361421115956,2.6758648666072755,2.911097824573517,"Jack Flaherty",17479,656427
"Brandon Pfaadt","ARI",8,6,0,25,25,150,8.34,1.86,1.08,0.2914691943127962,0.68758344,0.422988505,0.107142857,93.77377717391305,4.08,3.51,3.5492392412821454,3.685653535525004,2.754993438720703,"Brandon Pfaadt",27782,694297
"Reynaldo López","ATL",7,4,0,20,20,109.2,9.191489574849545,3.118541105752524,0.5744680984280965,0.2975778546712803,0.85924714,0.387755102,0.063063063,95.70442437629937,2.051671780100345,4.28,3.016675914697232,3.7199595827182264,2.739842414855957,"Reynaldo Lopez",16400,625643
"Tanner Bibee","CLE",10,5,0,24,24,132.1,9.79345125802571,2.176322501783491,1.0881612508917455,0.28023598820059,0.76433121,0.360795454,0.103225806,94.61421971252567,3.3324938308559706,3.61,3.3968295105713406,3.599133959744336,2.730607509613037,"Tanner Bibee",30134,676440
"Erick Fedde","- - -",8,7,0,25,25,143.1,7.660465286176488,2.6372093608148566,1.130232583206367,0.26715686274509803,0.79700272,0.426886792,0.106508875,93.54115804036458,3.3906977496191013,3.96,4.034665617212984,4.187992130541127,2.6955615035258234,"Erick Fedde",17425,607200
"Zach Eflin","- - -",9,7,0,23,23,135.1,7.448275932051522,0.9975369551854717,1.1305418825435345,0.29397590361445786,0.72072072,0.426229508,0.104938271,92.66214005934084,3.724137966025761,3.27,3.539419868796657,3.719524873572169,2.682941198348999,"Zach Eflin",13774,621107
"Bailey Ober","MIN",12,5,0,24,24,140,9.321428571428571,2.1857142857142855,1.2214285714285715,0.24355300859598855,0.73656846,0.329700272,0.104395604,91.8680419921875,3.5357142857142856,3.34,3.669715431758336,3.8744820232902257,2.637408494949341,"Bailey Ober",21224,641927
"Brady Singer","KCR",9,8,0,25,25,141.2,8.640000620404455,2.541176653060134,0.9529412448975503,0.29846938775510207,0.8,0.471321695,0.123966942,91.73549107142857,3.1764708163251676,4.46,3.656690257154949,3.573913757114787,2.5831310749053955,"Brady Singer",25377,663903
"Paul Skenes","PIT",7,2,0,16,16,98,11.112244897959183,2.204081632653061,0.9183673469387755,0.27601809954751133,0.86046512,0.484716157,0.125,98.78865573347107,2.295918367346939,2.72,2.907470533799152,2.8173934887866587,2.5779030323028564,"Paul Skenes",33677,694973
"Luis Castillo","SEA",10,12,0,26,26,153.2,9.019523373652948,2.5184383445914076,1.1127983383078313,0.28780487804878047,0.77651515,0.404255319,0.112426035,95.69737779170465,3.514100015708941,3.88,3.7027027622151865,3.7611201180755374,2.4865479469299316,"Luis Castillo",15689,622491
"Aaron Nola","PHI",11,6,0,26,26,159.1,8.303347545395457,2.3158996555184608,1.299163221388405,0.2837528604118993,0.79345088,0.444444444,0.149350649,92.5551102801067,3.4456068045518564,3.91,4.022405238046452,3.6097920373753256,2.40348744392395,"Aaron Nola",16149,605400
"Hunter Brown","HOU",11,7,0,25,24,134.1,9.714640566336604,3.3498760573574495,1.004962817207235,0.32577903682719545,0.76829268,0.476839237,0.132743362,96.05711060308343,3.8188587053874925,3.39,3.683664405759971,3.5061662728171177,2.3817323371767998,"Hunter Brown",25880,686613
"Reese Olson","DET",4,8,0,19,19,103,8.03883495145631,2.70873786407767,0.5242718446601942,0.2901023890784983,0.69468268,0.511784511,0.065934065,94.333330078125,3.233009708737864,3.51,3.123737623159168,3.7046469572099667,2.338191270828247,"Reese Olson",24968,681857
"Michael Wacha","KCR",10,6,0,22,22,127,7.653543307086614,2.6929133858267718,0.9921259842519685,0.28133704735376047,0.78445748,0.409214092,0.097902097,93.76182043112799,3.3307086614173227,4.25,3.863359976190282,4.135767485166159,2.283630847930908,"Michael Wacha",14078,608379
"Yoshinobu Yamamoto","LAD",6,2,0,14,14,74,10.216216216216216,2.0675675675675675,0.7297297297297297,0.29015544041450775,0.76815642,0.484848484,0.09375,95.67335695876288,2.918918918918919,3.22,2.6760860881289923,2.932004462061702,2.2577695846557617,"Yoshinobu Yamamoto",33825,808967
"Bryce Miller","SEA",9,7,0,25,25,143.2,8.331787132867667,2.067285529207767,1.127610288658782,0.24934383202099739,0.74918567,0.375314861,0.101694915,95.30459627123142,3.3201858499397474,3.85,3.6706932602456708,3.90800681334946,2.2208027839660645,"Bryce Miller",29837,682243
"Luis Gil","NYY",12,6,0,24,24,124.2,10.39572213720071,4.7647059795503255,0.8663101781000592,0.24067796610169492,0.77586207,0.372549019,0.086956521,96.74429630887681,3.3930481975585653,3.59,3.8604335514183044,4.285747535019379,2.197972059249878,"Luis Gil",21052,661563
"Pablo López","MIN",11,8,0,25,25,141,9.702127659574469,2.0425531914893615,1.4042553191489362,0.2956989247311828,0.70402299,0.412820512,0.146666666,94.90768286026201,4.468085106382978,3.56,3.843423638445266,3.4263906099272115,2.1932733058929443,"Pablo Lopez",17085,641154
"Jon Gray","TEX",5,4,0,21,17,96,7.500000074505807,2.2500000223517422,0.7500000074505807,0.3047945205479452,0.71038251,0.4006734,0.066666666,95.11660243573026,3.7500000372529034,4.46,3.32923924293783,4.139225442475606,2.1853047609329224,"Jon Gray",14916,592351
"Mitch Keller","PIT",11,7,0,25,25,148.1,8.130337357436186,2.4269663753540853,1.0314607095254862,0.2887323943661972,0.7491082,0.409090909,0.104294478,94.60895848342939,3.7617978817988322,3.91,3.8974040604865765,4.071935747620359,2.1379799842834473,"Mitch Keller",17594,656605
"Zac Gallen","ARI",9,6,0,21,21,110,8.345454545454546,3.0272727272727273,0.6545454545454545,0.31645569620253167,0.72368421,0.462732919,0.078431372,93.6786580882353,3.8454545454545452,4.13,3.3443907564336603,3.803435058485378,2.1150481700897217,"Zac Gallen",19291,668678
"Mason Miller","OAK",1,1,19,40,0,47.2,14.916084711892973,3.20979038104026,0.5664335966541635,0.21794871794871795,0.73964497,0.382716049,0.078947368,101.0902129120879,1.8881119888472118,1.56,1.7989361382258258,2.188242037765501,2.062180280685425,"Mason Miller",31757,695243
"Nick Martinez","CIN",6,6,0,35,9,101.1,7.282895102395264,1.1546053211114442,0.9769737332481451,0.28524590163934427,0.71285141,0.375,0.083969465,92.8296334890014,3.641447551197632,3.22,3.458625221054311,4.005532020231929,2.0488409996032715,"Nick Martinez",12730,607259
"Ryne Nelson","ARI",8,6,0,23,21,124,7.330645612325706,2.1048388391826283,0.8709677955238463,0.31648936170212766,0.69500675,0.412371134,0.08275862,95.13043509395051,4.354838977619231,4.02,3.6141855056278436,4.12729089913058,2.037050724029541,"Ryne Nelson",26253,669194
"Grayson Rodriguez","BAL",13,4,0,20,20,116.2,10.028571647176943,2.7771429176797686,1.1571428823665701,0.3081967213114754,0.75968992,0.40625,0.122950819,96.25530133928571,3.857142941221901,3.77,3.65971544259519,3.5721838888832926,2.026289463043213,"Grayson Rodriguez",24492,680570
"Bryan Woo","SEA",5,2,0,15,15,80.2,6.805785338529014,1.0041322630616578,0.5578512572564766,0.22943722943722944,0.79365079,0.433476394,0.053191489,94.79315963132635,2.119834777574611,2.32,2.9022419878957897,3.8614688148327896,2.004502296447754,"Bryan Woo",30279,693433
"Gavin Stone","LAD",11,5,0,23,23,128.1,7.363636655480983,2.3844156789176516,1.0519480936401404,0.2917771883289125,0.8,0.435897435,0.104895104,94.9946588010204,3.436363772557792,3.94,3.88724792801202,4.055526534473155,1.9827667474746704,"Gavin Stone",27792,694813
"Cade Smith","CLE",6,1,1,59,0,60,12.300003128052554,2.250000572204735,0.15000003814698235,0.3076923076923077,0.79861111,0.465648854,0.024390243,96.09830429147465,1.9500004959107706,2.7,1.5459054968091133,2.3642537118299516,1.9716163873672485,"Cade Smith",27867,671922
"Nathan Eovaldi","TEX",8,7,0,22,22,127,8.716535433070867,2.0551181102362204,1.2755905511811023,0.26843657817109146,0.75757576,0.498591549,0.168224299,95.70650762399464,3.7559055118110236,3.99,3.894856039182408,3.3284635299303402,1.9399346113204956,"Nathan Eovaldi",9132,543135
"Albert Suárez","BAL",6,4,0,25,17,96.1,7.287197616587583,3.0830451454793617,0.5605536628144294,0.29411764705882354,0.77571669,0.349480968,0.051724137,95.0010828088831,3.1764707559484333,3.96,3.473991276179051,4.488178719730769,1.9380372073501348,"Albert Suarez",6175,544150
"Matt Waldron","SDP",7,11,0,26,26,142.2,8.200935164188504,2.523364665904155,1.1985982163044737,0.291358024691358,0.67126725,0.388095238,0.106741573,90.84416946308725,4.794392865217895,3.99,4.101824978035358,4.2602971879448575,1.873013973236084,"Matt Waldron",25550,663362
"Freddy Peralta","MIL",8,7,0,25,25,137.1,10.616505247560713,3.342233133491336,1.4417476262119489,0.2809667673716012,0.76815642,0.376436781,0.142857142,94.45607894992236,3.997572963587676,3.85,4.174708534430938,3.7906572978169146,1.86217200756073,"Freddy Peralta",18679,642547
"Griffin Jax","MIN",3,4,8,57,0,55.1,11.54819383259912,1.9518074083266117,0.4879518520816529,0.25,0.79908676,0.484375,0.069767441,97.04459508754864,1.7891567909660606,2.28,2.005945962273783,2.478178384970142,1.861380696296692,"Griffin Jax",20253,643377
"Kevin Gausman","TOR",11,9,0,25,25,144.1,8.168591511877171,2.681293397028384,1.2471132079201788,0.2891566265060241,0.68789809,0.378752886,0.110497237,93.98430380074565,4.240184906928608,4.96,4.084050667134277,4.182106101499224,1.8520623445510864,"Kevin Gausman",14107,592332
"Emmanuel Clase","CLE",4,2,37,59,0,59.1,7.432584428949773,1.2134831720734323,0.15168539650917903,0.19230769230769232,0.80808081,0.606451612,0.03030303,,0.6067415860367161,2.44,2.23560626261494,2.858925974659243,1.843422532081604,"Emmanuel Clase",21032,661403
